institution_name,longitude,latitude,fips_state_code,total_enrollment,full-time_enrollment,part-time_enrollment,control,level
Bennington College,-73.237799,42.919547,Vermont,811.0,780.0,31.0,Private not-for-profit,4-year or above
Bentley University,-71.22283900000002,42.385995,Massachusetts,5460.0,4879.0,581.0,Private not-for-profit,4-year or above
Berea College,-84.292893,37.57202,Kentucky,1673.0,1631.0,42.0,Private not-for-profit,4-year or above
Bergen Community College,-74.08880400000002,40.951782,New Jersey,13352.0,7320.0,6032.0,Public,2-year
Bergin University of Canine Studies,-122.681639,38.303233,California,60.0,34.0,26.0,Private not-for-profit,4-year or above
Berkeley City College,-122.269877,37.869769,California,6053.0,1648.0,4405.0,Public,2-year
Berkeley College-New York,-73.979458,40.753986,New York,3696.0,2834.0,862.0,Private for-profit,4-year or above
Berkeley College-Woodland Park,-74.189483,40.898587,New Jersey,3468.0,2445.0,1023.0,Private for-profit,4-year or above
Berklee College of Music,-71.089405,42.346646,Massachusetts,6963.0,5459.0,1504.0,Private not-for-profit,4-year or above
Berkshire Community College,-73.314704,42.45975,Massachusetts,1696.0,553.0,1143.0,Public,2-year
Berry College,-85.18920200000002,34.290414,Georgia,2014.0,1934.0,80.0,Private not-for-profit,4-year or above
Best Care College,-74.22111600000002,40.765332,New Jersey,33.0,33.0,0.0,Private for-profit,2-year
Bet Medrash Gadol Ateret Torah,-73.969945,40.607809,New York,106.0,106.0,0.0,Private not-for-profit,4-year or above
Beth Hamedrash Shaarei Yosher Institute,-73.981202,40.635444,New York,74.0,74.0,0.0,Private not-for-profit,4-year or above
